ID,Code,Name
30103,337516,36,퍼과
30142,337523,36,챠쒜
30174,337528,36,퍼죠
30182,337529,36,꾸뵈
30195,337532,36,느똬
30227,337537,36,으채
30233,337538,36,츄거
30258,337542,36,쳬추
30297,337546,36,거와
30473,337587,36,뇨뺘
30497,337592,36,숴둬
30501,337593,36,셔뀌
30542,337602,36,쮸뛔
30556,337605,36,햐돠
30579,337608,36,퇘폐
30592,337609,36,카쏴
30618,337614,36,쮸뙤
30713,337631,36,뎌의
30727,337633,36,볘래
30731,337634,36,쟈띄
30736,337635,36,졔쾌
30779,337643,36,냐갸
30839,337653,36,쫴니
30852,337655,36,쐐퓌
30878,337660,36,쳬쾌
30914,337668,36,쑈쉬
30941,337671,36,뤼쇼
31048,337693,35,뤄추
31060,337695,35,휘퉤
31148,337712,35,됴쪼
31180,337720,35,대캬
31213,337726,35,겨꿰
31252,337733,35,틔뇌
31267,337735,35,흐얘
31307,337742,35,뵈때
31352,337749,35,휴꿰
31361,337751,35,쟤뵈
31384,337755,35,깨쒸
31590,337801,35,회긔
31604,337804,35,섀뿌
31611,337807,35,꼬눠
31624,337810,35,녜쌔
31728,337833,35,눠졔
31794,337848,35,괘뇨
31815,337853,35,눠디
31876,337869,35,캬켸
31944,337884,35,수궈
31947,337885,35,하펴
31963,337888,35,야뒈
31967,337889,35,솨커
31981,337893,35,테때
32036,337908,35,뵈띠
32051,337912,35,늬때
32081,337925,35,괘퇴
32110,337934,35,쏘큐
32122,337937,35,뒈케
32136,337945,35,꺄취
32161,337952,35,브최
32180,337956,35,푀태
32211,337968,35,꽤뤠
32253,337986,35,와카
32265,337991,35,솨겨
32281,337999,35,퇴돼
32296,338006,35,뭬휴
32310,338010,35,뷰프
32316,338013,35,쩨크
32351,338024,35,쫘고
32388,338036,35,쿠퇘
32453,338056,35,허겨
32458,338058,35,루퀘
32469,338061,35,꾀댜
32538,338090,35,훠메
32552,338097,35,기롸
32639,338131,35,째놔
32706,338159,35,볘푸
32739,338176,35,뛔툐
32741,338177,35,위터
32749,338181,35,교눼
32780,338194,35,빼투
32791,338199,35,좨최
32885,338236,35,퇴누
33019,338296,35,괘와
33020,338297,35,뙤표
33022,338297,35,뜨며
33023,338298,35,뵤쫘
33086,338322,35,교셰
33150,338349,35,희쩨
